run_id,file,scenario,arm,rep,batch,run_started,run_ended,model,pack_version,environment,variant,rounds_variant,rounds_config,capital_sees_table,live,dispositions,terminal,settled,settled_in_round,rounds_played,table_turns,settle_total_pool_tonnes,settle_uk_tranche_tonnes,settle_allocation,settle_out_of_quota_rate_pct,settle_duration_years,settle_review_clause,judge_rescued,judge_mechanical_reason,judge_same_package,judge_internally_coherent,n_events,n_mandate_exceeded,n_mandate_exceeded_uk,n_mandate_exceeded_eu,n_release_requested,n_release_refused,n_capital_instructions,n_post_reports,n_acceptance_events,n_truncated_outputs,n_unparsed_outputs,input_tokens,output_tokens,validation_warnings
firm__rep3__2026-08-27T08-39-40-327Z,s1-article-xxviii-steel__arm-firm__rep3__2026-08-27T08-39-40-327Z.jsonl,s1-article-xxviii-steel,firm,3,main-4round,2026-08-27T08:39:40.327Z,2026-08-27T09:09:28.075Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""eu-geneva"": ""firm"", ""eu-brussels"": ""firm"", ""uk-geneva"": ""firm"", ""uk-london"": ""firm""}",rounds_exhausted,False,,4,8,,,,,,,False,,,,56,1,1,0,7,5,8,8,8,0,1,3013,88275,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
firm__rep4__2026-08-27T10-22-59-607Z,s1-article-xxviii-steel__arm-firm__rep4__2026-08-27T10-22-59-607Z.jsonl,s1-article-xxviii-steel,firm,4,main-4round,2026-08-27T10:22:59.608Z,2026-08-27T10:45:29.108Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""eu-geneva"": ""firm"", ""eu-brussels"": ""firm"", ""uk-geneva"": ""firm"", ""uk-london"": ""firm""}",rounds_exhausted,False,,4,8,,,,,,,False,,,,59,0,0,0,8,7,8,8,8,0,0,3136,82260,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
focal_firm_ukgva__rep1__2026-08-26T20-20-00-841Z,s1-article-xxviii-steel__arm-focal_firm_ukgva__rep1__2026-08-26T20-20-00-841Z.jsonl,s1-article-xxviii-steel,focal_firm_ukgva,1,main-4round,2026-08-26T20:20:00.841Z,2026-08-26T20:44:03.910Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""uk-geneva"": ""firm""}",settled,True,4,4,8,850000,550000,country_specific,25,2,True,False,,,,57,1,1,0,8,6,8,8,8,0,0,3687,86140,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
focal_firm_ukgva__rep2__2026-08-26T22-13-38-944Z,s1-article-xxviii-steel__arm-focal_firm_ukgva__rep2__2026-08-26T22-13-38-944Z.jsonl,s1-article-xxviii-steel,focal_firm_ukgva,2,main-4round,2026-08-26T22:13:38.944Z,2026-08-26T22:32:29.870Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""uk-geneva"": ""firm""}",settled,True,4,4,8,1000000,700000,country_specific,25,3,True,False,,,,55,1,1,0,8,4,8,8,8,0,0,3488,72010,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
focal_firm_ukgva__rep3__2026-08-27T09-50-30-913Z,s1-article-xxviii-steel__arm-focal_firm_ukgva__rep3__2026-08-27T09-50-30-913Z.jsonl,s1-article-xxviii-steel,focal_firm_ukgva,3,main-4round,2026-08-27T09:50:30.913Z,2026-08-27T10:14:19.627Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""uk-geneva"": ""firm""}",settled,True,4,4,8,750000,380000,country_specific,30,3,True,True,deciders accepted different values for total_pool_tonnes,True,True,56,1,1,0,8,3,8,8,8,0,0,5836,85527,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
focal_firm_ukgva__rep4__2026-08-27T11-29-38-792Z,s1-article-xxviii-steel__arm-focal_firm_ukgva__rep4__2026-08-27T11-29-38-792Z.jsonl,s1-article-xxviii-steel,focal_firm_ukgva,4,main-4round,2026-08-27T11:29:38.792Z,2026-08-27T11:54:36.793Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,four,4,True,True,"{""uk-geneva"": ""firm""}",rounds_exhausted,False,,4,8,,,,,,,False,,,,58,2,1,1,8,5,8,8,8,0,0,3378,89264,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
accommodating__rep1__2026-08-24T20-54-07-920Z,s1-article-xxviii-steel__arm-accommodating__rep1__2026-08-24T20-54-07-920Z.jsonl,s1-article-xxviii-steel,accommodating,1,pilot-6round,2026-08-24T20:54:07.921Z,2026-08-24T21:20:22.867Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,,6,True,True,"{""eu-geneva"": ""accommodating"", ""eu-brussels"": ""accommodating"", ""uk-geneva"": ""accommodating"", ""uk-london"": ""accommodating""}",rounds_exhausted,False,,6,12,,,,,,,False,,,,78,1,1,0,11,6,12,12,12,0,0,6079,111445,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
control__rep1__2026-08-24T19-41-35-713Z,s1-article-xxviii-steel__arm-control__rep1__2026-08-24T19-41-35-713Z.jsonl,s1-article-xxviii-steel,control,1,pilot-6round,2026-08-24T19:41:35.714Z,2026-08-24T20:06:57.324Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,,6,True,True,{},rounds_exhausted,False,,6,12,,,,,,,False,,,,79,3,3,0,12,4,12,12,12,0,0,5815,110924,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
firm__rep1__2026-08-24T20-22-24-391Z,s1-article-xxviii-steel__arm-firm__rep1__2026-08-24T20-22-24-391Z.jsonl,s1-article-xxviii-steel,firm,1,pilot-6round,2026-08-24T20:22:24.391Z,2026-08-24T20:54:07.774Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,,6,True,True,"{""eu-geneva"": ""firm"", ""eu-brussels"": ""firm"", ""uk-geneva"": ""firm"", ""uk-london"": ""firm""}",rounds_exhausted,False,,6,12,,,,,,,False,,,,82,2,2,0,12,5,12,12,12,0,0,5375,120475,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
focal_firm_ukgva__rep1__2026-08-24T21-20-23-021Z,s1-article-xxviii-steel__arm-focal_firm_ukgva__rep1__2026-08-24T21-20-23-021Z.jsonl,s1-article-xxviii-steel,focal_firm_ukgva,1,pilot-6round,2026-08-24T21:20:23.021Z,2026-08-24T21:46:34.409Z,anthropic:claude-sonnet-5,0.2,two-room,harsh,,6,True,True,"{""uk-geneva"": ""firm""}",rounds_exhausted,False,,6,12,,,,,,,False,,,,80,2,2,0,12,6,12,12,12,0,0,5585,112734,"seat brief lengths for capital seats span 29.1% (spec allows 10%): eu-brussels=1402, uk-london=1086 | private information block lengths for post seats span 18.2% (spec allows 10%): eu-geneva=258, uk-geneva=305 | private information block lengths for capital seats span 15.8% (spec allows 10%): eu-brussels=546, uk-london=632"
