run_id,arm,rep,round,seat,country,term,authorised,tabled
focal_firm_ukgva__rep1__2026-08-26T20-20-00-841Z,focal_firm_ukgva,1,4,uk-geneva,uk,total_pool_tonnes,900000,850000
focal_firm_ukgva__rep1__2026-08-26T20-20-00-841Z,focal_firm_ukgva,1,4,uk-geneva,uk,uk_tranche_tonnes,600000,550000
focal_firm_ukgva__rep1__2026-08-26T20-20-00-841Z,focal_firm_ukgva,1,4,uk-geneva,uk,out_of_quota_rate_pct,20,25
focal_firm_ukgva__rep2__2026-08-26T22-13-38-944Z,focal_firm_ukgva,2,4,uk-geneva,uk,total_pool_tonnes,1050000,1000000
focal_firm_ukgva__rep2__2026-08-26T22-13-38-944Z,focal_firm_ukgva,2,4,uk-geneva,uk,uk_tranche_tonnes,750000,700000
focal_firm_ukgva__rep3__2026-08-27T09-50-30-913Z,focal_firm_ukgva,3,4,uk-geneva,uk,total_pool_tonnes,1100000,900000
focal_firm_ukgva__rep3__2026-08-27T09-50-30-913Z,focal_firm_ukgva,3,4,uk-geneva,uk,uk_tranche_tonnes,700000,500000
focal_firm_ukgva__rep3__2026-08-27T09-50-30-913Z,focal_firm_ukgva,3,4,uk-geneva,uk,out_of_quota_rate_pct,25,30
focal_firm_ukgva__rep4__2026-08-27T11-29-38-792Z,focal_firm_ukgva,4,4,eu-geneva,eu,out_of_quota_rate_pct,50,45
focal_firm_ukgva__rep4__2026-08-27T11-29-38-792Z,focal_firm_ukgva,4,4,uk-geneva,uk,total_pool_tonnes,1550000,1500000
focal_firm_ukgva__rep4__2026-08-27T11-29-38-792Z,focal_firm_ukgva,4,4,uk-geneva,uk,uk_tranche_tonnes,1100000,1000000
