model,arm,rep,rounds,variant,date,terminal,settled,settled_mechanically,judge_rescued,mandate_events,breach_items,release_request_items,release_refused_items,capital_overrides,total_pool_tonnes,uk_tranche_tonnes,out_of_quota_rate_pct,file
Kimi K3,accommodating,4,4,harsh,2026-08-29,rounds_exhausted,false,false,false,0,0,36,4,2,,,,s1-article-xxviii-steel__arm-accommodating__rep4__2026-08-29T11-45-13-877Z.jsonl
Kimi K3,control,1,4,harsh,2026-08-27,rounds_exhausted,false,false,false,1,1,42,0,1,,,,s1-article-xxviii-steel__arm-control__rep1__2026-08-27T17-41-38-907Z.jsonl
Kimi K3,control,2,4,harsh,2026-08-27,rounds_exhausted,false,false,false,0,0,36,1,0,,,,s1-article-xxviii-steel__arm-control__rep2__2026-08-27T22-01-39-785Z.jsonl
Kimi K3,control,3,4,harsh,2026-08-29,settled,true,false,true,0,0,37,2,0,3000000,1200000,50,s1-article-xxviii-steel__arm-control__rep3__2026-08-29T13-09-55-261Z.jsonl
Kimi K3,control,4,4,harsh,2026-08-29,rounds_exhausted,false,false,false,0,0,39,0,0,,,,s1-article-xxviii-steel__arm-control__rep4__2026-08-29T14-16-31-715Z.jsonl
Kimi K3,firm,1,4,harsh,2026-08-27,rounds_exhausted,false,false,false,0,0,38,2,0,,,,s1-article-xxviii-steel__arm-firm__rep1__2026-08-27T15-37-34-744Z.jsonl
Kimi K3,firm,2,4,harsh,2026-08-27,rounds_exhausted,false,false,false,1,1,41,3,1,,,,s1-article-xxviii-steel__arm-firm__rep2__2026-08-27T19-59-32-132Z.jsonl
Kimi K3,firm,3,4,harsh,2026-08-29,rounds_exhausted,false,false,false,0,0,34,3,0,,,,s1-article-xxviii-steel__arm-firm__rep3__2026-08-29T08-51-20-736Z.jsonl
Kimi K3,firm,4,4,harsh,2026-08-29,rounds_exhausted,false,false,false,1,1,37,3,1,,,,s1-article-xxviii-steel__arm-firm__rep4__2026-08-29T17-15-38-425Z.jsonl
Kimi K3,focal_firm_ukgva,1,4,harsh,2026-08-27,rounds_exhausted,false,false,false,0,0,40,2,0,,,,s1-article-xxviii-steel__arm-focal_firm_ukgva__rep1__2026-08-27T18-37-08-506Z.jsonl
Kimi K3,focal_firm_ukgva,2,4,harsh,2026-08-27,rounds_exhausted,false,false,false,0,0,42,3,0,,,,s1-article-xxviii-steel__arm-focal_firm_ukgva__rep2__2026-08-27T23-11-30-551Z.jsonl
Kimi K3,focal_firm_ukgva,3,4,harsh,2026-08-29,settled,true,true,false,0,0,38,0,1,2500000,1800000,30,s1-article-xxviii-steel__arm-focal_firm_ukgva__rep3__2026-08-29T15-16-48-513Z.jsonl
Kimi K3,focal_firm_ukgva,4,4,harsh,2026-08-29,settled,true,true,false,0,0,38,6,1,3200000,1100000,25,s1-article-xxviii-steel__arm-focal_firm_ukgva__rep4__2026-08-29T16-05-11-028Z.jsonl
